location,ts,cloud,temp,temp_max,temp_min,humidity,ground_press,wind_speed,wind_dir,rain,snow
Gaigeturi,1709218856,80.0,8.03,8.03,8.03,73.0,1023.0,10.34,352.0,0.0,0.0
Gaigeturi,1709220664,75.0,8.03,8.03,8.03,66.0,1022.0,3.09,340.0,0.0,0.0
Gaigeturi,1709222454,85.0,7.75,7.75,7.75,71.0,1023.0,11.28,350.0,0.0,0.0
Gaigeturi,1709224276,75.0,8.03,8.03,8.03,66.0,1022.0,4.63,340.0,0.0,0.0
Gaigeturi,1709226058,88.0,7.11,7.11,7.11,66.0,1024.0,11.8,352.0,0.31,0.0
Gaigeturi,1709227878,75.0,7.03,7.03,7.03,61.0,1023.0,5.14,340.0,0.0,0.0
Gaigeturi,1709229642,87.0,6.79,6.79,6.79,65.0,1024.0,11.79,351.0,0.0,0.0
Gaigeturi,1709231489,40.0,6.03,6.03,6.03,61.0,1024.0,4.12,340.0,0.0,0.0
Gaigeturi,1709233257,33.0,6.19,6.19,6.19,67.0,1024.0,12.33,351.0,0.0,0.0
Gaigeturi,1709235044,40.0,5.03,5.03,5.03,65.0,1024.0,4.63,330.0,0.0,0.0
Gaigeturi,1709236875,48.0,5.65,5.65,5.65,68.0,1024.0,12.02,355.0,0.0,0.0
Gaigeturi,1709238649,75.0,5.03,5.03,5.03,60.0,1024.0,6.17,330.0,0.0,0.0
Gaigeturi,1709240454,59.0,5.09,5.09,5.09,67.0,1025.0,12.1,350.0,0.0,0.0
Gaigeturi,1709242244,75.0,5.03,5.03,5.03,60.0,1024.0,5.66,330.0,0.0,0.0
Gaigeturi,1709244046,66.0,4.57,4.57,4.57,67.0,1025.0,12.28,354.0,0.0,0.0
Gaigeturi,1709245852,75.0,4.03,4.03,4.03,65.0,1025.0,5.66,340.0,0.0,0.0
Gaigeturi,1709247646,69.0,4.17,4.17,4.17,66.0,1026.0,12.75,357.0,0.0,0.0
Gaigeturi,1709249469,75.0,3.03,3.03,3.03,60.0,1025.0,4.63,340.0,0.0,0.0
Gaigeturi,1709251276,72.0,4.1,4.1,4.1,67.0,1026.0,12.7,357.0,0.0,0.0
Gaigeturi,1709253080,75.0,4.03,4.03,4.03,56.0,1025.0,4.12,350.0,0.0,0.0
Gaigeturi,1709254867,90.0,4.32,4.32,4.32,65.0,1026.0,12.76,351.0,0.0,0.0
Gaigeturi,1709256698,75.0,3.03,3.03,3.03,60.0,1026.0,4.63,340.0,0.0,0.0
Gaigeturi,1709258516,93.0,4.27,4.27,4.27,64.0,1027.0,12.56,349.0,0.0,0.0
Gaigeturi,1709260265,75.0,3.03,3.03,3.03,56.0,1027.0,7.72,330.0,0.0,0.0
Gaigeturi,1709262058,95.0,4.29,4.29,4.29,61.0,1027.0,11.91,343.0,0.0,0.0
Gaigeturi,1709263836,75.0,3.03,3.03,3.03,56.0,1027.0,6.69,320.0,0.0,0.0
Gaigeturi,1709265642,96.0,4.33,4.33,4.33,61.0,1026.0,12.31,342.0,0.0,0.0
Gaigeturi,1709267460,75.0,3.03,3.03,3.03,60.0,1025.0,6.17,330.0,0.0,0.0
Gaigeturi,1709269254,97.0,4.24,4.24,4.24,61.0,1026.0,12.58,341.0,0.0,0.0
Gaigeturi,1709271050,75.0,3.03,3.03,3.03,60.0,1025.0,7.72,320.0,0.0,0.0
Gaigeturi,1709272865,98.0,4.07,4.07,4.07,61.0,1025.0,12.96,340.0,0.0,0.0
Gaigeturi,1709274692,75.0,2.03,2.03,2.03,64.0,1024.0,7.72,330.0,0.0,0.0
Gaigeturi,1709276473,100.0,3.9,3.9,3.9,60.0,1025.0,12.64,338.0,0.0,0.0
Gaigeturi,1709278246,75.0,2.03,2.03,2.03,51.0,1025.0,8.75,320.0,0.0,0.0
Gaigeturi,1709280046,100.0,3.67,3.67,3.67,61.0,1026.0,12.44,335.0,0.0,0.0
Gaigeturi,1709281853,75.0,2.03,2.03,2.03,55.0,1025.0,9.26,320.0,0.0,0.0
Gaigeturi,1709283668,100.0,3.39,3.39,3.39,62.0,1026.0,12.1,337.0,0.0,0.0
Gaigeturi,1709285457,75.0,2.03,2.03,2.03,64.0,1025.0,7.72,320.0,0.0,0.0
Gaigeturi,1709287248,100.0,3.19,3.19,3.19,61.0,1026.0,11.68,339.0,0.19,0.0
Gaigeturi,1709289066,75.0,2.03,2.03,2.03,60.0,1026.0,6.69,330.0,0.13,0.0
Gaigeturi,1709290862,100.0,2.99,2.99,2.99,63.0,1027.0,11.21,338.0,0.0,0.0
Gaigeturi,1709292666,75.0,2.03,2.03,2.03,60.0,1026.0,6.69,320.0,0.0,0.0
Gaigeturi,1709294457,100.0,2.87,2.87,2.87,63.0,1027.0,10.57,341.0,0.0,0.0
Gaigeturi,1709296640,75.0,1.03,1.03,1.03,60.0,1026.0,6.17,320.0,0.0,0.0
Gaigeturi,1709296793,75.0,1.03,1.03,1.03,60.0,1026.0,6.17,320.0,0.0,0.0
Gaigeturi,1709298055,100.0,3.23,3.23,3.23,59.0,1027.0,10.47,341.0,0.0,0.0
Gaigeturi,1709299842,75.0,1.03,1.03,1.03,64.0,1027.0,5.14,330.0,0.0,0.0
Gaigeturi,1709301649,100.0,3.27,3.27,3.27,59.0,1027.0,10.06,337.0,0.0,0.0
Gaigeturi,1709303446,75.0,1.03,1.03,1.03,60.0,1027.0,5.66,330.0,0.0,0.0
Gaigeturi,1709305280,100.0,3.23,3.23,3.23,59.0,1027.0,9.99,337.0,0.0,0.0
Gaigeturi,1709307042,75.0,1.03,1.03,1.03,69.0,1026.0,5.14,340.0,0.0,0.0
Gaigeturi,1709308871,100.0,3.29,3.29,3.29,59.0,1027.0,9.66,336.0,0.0,0.0
Gaigeturi,1709310645,75.0,2.03,2.03,2.03,55.0,1026.0,6.17,320.0,0.0,0.13
Gaigeturi,1709312456,100.0,3.25,3.25,3.25,59.0,1026.0,9.54,335.0,0.14,0.0
Gaigeturi,1709314267,75.0,2.03,2.03,2.03,64.0,1026.0,6.17,320.0,0.0,0.14
Gaigeturi,1709316047,100.0,3.26,3.26,3.26,59.0,1026.0,8.73,337.0,0.14,0.0
Gaigeturi,1709317896,75.0,2.03,2.03,2.03,64.0,1026.0,4.63,340.0,0.0,0.0
Gaigeturi,1709319665,100.0,3.21,3.21,3.21,60.0,1025.0,8.87,337.0,0.0,0.0
Gaigeturi,1709321462,75.0,1.03,1.03,1.03,69.0,1025.0,4.63,340.0,0.0,0.12
Gaigeturi,1709323243,100.0,3.28,3.28,3.28,59.0,1025.0,8.28,338.0,0.0,0.0
Gaigeturi,1709325064,75.0,2.03,2.03,2.03,69.0,1025.0,3.6,340.0,0.0,0.0
Gaigeturi,1709326849,99.0,3.34,3.34,3.34,59.0,1025.0,7.71,337.0,0.0,0.0
Gaigeturi,1709328645,75.0,2.03,2.03,2.03,64.0,1025.0,4.12,340.0,0.0,0.0
Gaigeturi,1709330461,99.0,3.47,3.47,3.47,59.0,1025.0,7.01,339.0,0.0,0.0
Gaigeturi,1709332261,75.0,1.03,1.03,1.03,69.0,1026.0,3.09,340.0,0.0,0.0
Gaigeturi,1709334040,99.0,3.66,3.66,3.66,57.0,1025.0,6.47,334.0,0.0,0.0
Gaigeturi,1709335863,75.0,2.03,2.03,2.03,69.0,1026.0,4.12,360.0,0.0,0.0
Gaigeturi,1709337651,99.0,3.71,3.71,3.71,55.0,1026.0,5.49,337.0,0.0,0.0
Gaigeturi,1709339462,75.0,2.03,2.03,2.03,75.0,1026.0,1.03,60.0,0.0,0.0
Gaigeturi,1709341266,100.0,4.05,4.05,4.05,53.0,1026.0,4.82,332.0,0.0,0.0
Gaigeturi,1709343123,75.0,3.03,3.03,3.03,65.0,1026.0,2.06,20.0,0.0,0.0
Gaigeturi,1709344910,100.0,4.45,4.45,4.45,52.0,1026.0,4.76,317.0,0.0,0.0
Gaigeturi,1709346701,75.0,4.03,4.03,4.03,60.0,1026.0,1.54,310.0,0.0,0.0
Gaigeturi,1709348448,100.0,4.84,4.84,4.84,51.0,1025.0,4.85,310.0,0.0,0.0
Gaigeturi,1709350250,75.0,5.03,5.03,5.03,48.0,1025.0,3.09,260.0,0.0,0.0
Gaigeturi,1709352061,100.0,5.19,5.19,5.19,50.0,1024.0,4.92,306.0,0.0,0.0
Gaigeturi,1709353862,20.0,6.03,6.03,6.03,49.0,1024.0,3.09,320.0,0.0,0.0
Gaigeturi,1709355661,98.0,5.45,5.45,5.45,50.0,1023.0,4.94,300.0,0.0,0.0
Gaigeturi,1709357468,40.0,6.03,6.03,6.03,45.0,1023.0,3.09,310.0,0.0,0.0
Gaigeturi,1709359244,92.0,5.16,5.16,5.16,49.0,1023.0,4.31,299.0,0.0,0.0
Gaigeturi,1709361062,40.0,6.03,6.03,6.03,45.0,1022.0,3.6,270.0,0.0,0.0
Gaigeturi,1709362842,75.0,5.41,5.41,5.41,49.0,1022.0,4.28,296.0,0.0,0.0
Gaigeturi,1709364656,40.0,6.03,6.03,6.03,49.0,1022.0,2.57,240.0,0.0,0.0
Gaigeturi,1709366458,77.0,5.62,5.62,5.62,50.0,1022.0,4.46,292.0,0.0,0.0
