location,base_ts,ts,cloud,temp,temp_max,temp_min,humidity,ground_press,wind_speed,wind_dir,rain,snow
Gaigeturi,1709258400,1709305200,100.0,3.23,3.23,3.23,59.0,1027.0,9.59,337.0,0.0,0.0
Gaigeturi,1709258400,1709308800,100.0,3.3,3.3,3.3,59.0,1027.0,9.28,338.0,0.0,0.0
Gaigeturi,1709258400,1709312400,100.0,3.35,3.35,3.35,59.0,1027.0,8.82,337.0,0.0,0.0
Gaigeturi,1709258400,1709316000,100.0,3.35,3.35,3.35,59.0,1026.0,8.42,338.0,0.0,0.0
Gaigeturi,1709258400,1709319600,99.0,3.43,3.43,3.43,59.0,1026.0,8.24,337.0,0.0,0.0
Gaigeturi,1709258400,1709323200,99.0,3.62,3.62,3.62,58.0,1026.0,8.01,336.0,0.0,0.0
Gaigeturi,1709258400,1709326800,99.0,3.73,3.73,3.73,56.0,1026.0,7.15,335.0,0.0,0.0
Gaigeturi,1709258400,1709330400,99.0,3.76,3.76,3.76,56.0,1026.0,6.58,337.0,0.0,0.0
Gaigeturi,1709258400,1709334000,98.0,3.9,3.9,3.9,54.0,1026.0,5.79,332.0,0.0,0.0
Gaigeturi,1709258400,1709337600,96.0,4.23,4.23,4.23,51.0,1026.0,4.99,326.0,0.0,0.0
Gaigeturi,1709258400,1709341200,72.0,4.56,4.56,4.56,50.0,1026.0,5.2,318.0,0.0,0.0
Gaigeturi,1709258400,1709344800,76.0,4.84,4.84,4.84,49.0,1026.0,4.64,307.0,0.0,0.0
Gaigeturi,1709258400,1709348400,81.0,5.27,5.27,5.27,49.0,1025.0,4.69,303.0,0.0,0.0
Gaigeturi,1709258400,1709352000,85.0,5.66,5.66,5.66,49.0,1024.0,4.87,300.0,0.0,0.0
Gaigeturi,1709258400,1709355600,88.0,6.12,6.12,6.12,49.0,1023.0,5.07,293.0,0.0,0.0
Gaigeturi,1709258400,1709359200,89.0,6.55,6.55,6.55,50.0,1023.0,5.44,287.0,0.0,0.0
Gaigeturi,1709258400,1709362800,97.0,6.85,6.85,6.85,50.0,1022.0,6.06,277.0,0.0,0.0
