ts,실시간 임시 가격(원/kWh),실시간 확정 가격(원/kWh)
1709218800,95.30,95.30
1709219700,170.95,170.95
1709220600,170.42,170.42
1709221500,107.39,107.39
1709222400,107.39,107.39
1709223300,95.30,95.30
1709224200,95.30,95.30
1709225100,95.30,95.30
1709226000,95.30,95.30
1709226900,87.89,87.89
1709227800,87.89,87.89
1709228700,87.89,87.89
1709229600,87.89,87.89
1709230500,86.50,86.50
1709231400,86.50,86.50
1709232300,86.50,86.50
1709233200,86.50,86.50
1709234100,88.78,88.78
1709235000,88.78,88.78
1709235900,88.78,88.78
1709236800,88.78,88.78
1709237700,100.21,100.21
1709238600,100.21,100.21
1709239500,100.21,100.21
1709240400,100.21,100.21
1709241300,111.40,111.40
1709242200,111.40,111.40
1709243100,111.40,111.40
1709244000,111.40,111.40
1709244900,111.40,111.40
1709245800,111.40,111.40
1709246700,111.40,111.40
1709247600,111.40,111.40
1709248500,111.67,111.67
1709249400,111.67,111.67
1709250300,111.67,111.67
1709251200,111.67,111.67
1709252100,109.57,109.57
1709253000,109.57,109.57
1709253900,109.57,109.57
1709254800,109.57,109.57
1709255700,0.00,0.00
1709256600,-10.00,-10.00
1709257500,-50.00,-50.00
1709258400,-73.88,-73.88
1709259300,-73.88,-73.88
1709260200,-73.88,-73.88
1709261100,-50.00,-50.00
1709262000,-73.88,-73.88
1709262900,-10.00,-10.00
1709263800,-10.00,-10.00
1709264700,0.00,0.00
1709265600,0.00,0.00
1709266500,95.91,95.91
1709267400,95.91,95.91
1709268300,95.91,95.91
1709269200,95.91,95.91
1709270100,95.91,95.91
1709271000,95.91,95.91
1709271900,95.91,95.91
1709272800,95.91,95.91
1709273700,98.25,98.25
1709274600,98.25,98.25
1709275500,98.25,98.25
1709276400,98.25,98.25
1709277300,100.21,100.21
1709278200,100.21,100.21
1709279100,100.21,100.21
1709280000,100.21,100.21
1709280900,128.34,128.34
1709281800,128.34,128.34
1709282700,128.34,128.34
1709283600,128.34,128.34
1709284500,109.57,109.57
1709285400,109.57,109.57
1709286300,109.57,109.57
1709287200,174.45,174.45
1709288100,109.83,109.83
1709289000,109.83,109.83
1709289900,109.83,109.83
1709290800,109.83,109.83
1709291700,176.75,176.75
1709292600,175.93,175.93
1709293500,175.43,175.43
1709294400,174.59,174.59
1709295300,176.33,176.33
1709296200,176.29,176.29
1709297100,173.78,173.78
1709298000,110.35,110.35
1709298900,174.70,174.70
1709299800,112.19,112.19
1709300700,112.19,112.19
1709301600,173.94,173.94
1709302500,176.82,176.82
1709303400,175.10,175.10
1709304300,175.48,175.48
1709305200,112.19,112.19
1709306100,166.71,167.00
1709307000,171.15,170.66
1709307900,169.40,169.38
1709308800,100.28,100.28
1709309700,99.48,99.48
1709310600,323.86,250.03
1709311500,169.15,138.50
1709312400,167.66,136.89
1709313300,168.65,138.01
1709314200,168.71,138.37
1709315100,166.92,136.70
1709316000,165.95,136.72
1709316900,167.49,138.33
1709317800,167.01,137.80
1709318700,91.24,91.24
1709319600,91.24,91.24
1709320500,325.31,255.56
1709321400,91.24,91.24
1709322300,91.24,91.24
1709323200,91.24,91.24
1709324100,95.38,95.38
1709325000,95.38,95.38
1709325900,95.38,95.38
1709326800,95.38,95.38
1709327700,99.48,99.48
1709328600,99.48,99.48
1709329500,173.21,181.38
1709330400,99.48,99.48
1709331300,178.74,141.42
1709332200,177.90,140.36
1709333100,178.44,140.58
1709334000,102.02,102.02
1709334900,101.85,101.85
1709335800,101.85,101.85
1709336700,101.85,101.85
1709337600,101.85,101.85
1709338500,104.14,104.14
1709339400,104.14,104.14
1709340300,104.14,104.14
1709341200,104.14,104.14
1709342100,100.76,100.76
1709343000,100.76,100.76
1709343900,100.76,100.76
1709344800,100.76,100.76
1709345700,95.88,95.88
1709346600,0.00,0.00
1709347500,0.00,0.00
1709348400,-19.00,-19.00
1709349300,-73.65,-73.65
1709350200,-76.94,-76.94
1709351100,-77.90,-77.90
1709352000,-73.65,-73.65
1709352900,0.00,0.00
1709353800,0.00,0.00
1709354700,0.00,0.00
1709355600,0.00,0.00
1709356500,99.48,99.48
1709357400,99.48,99.48
1709358300,99.48,99.48
1709359200,-73.65,-73.65
1709360100,0.00,0.00
1709361000,100.55,100.55
1709361900,100.55,100.55
1709362800,100.55,100.55
1709363700,99.48,99.48
1709364600,99.48,99.48
1709365500,99.48,99.48
1709366400,99.48,99.48
1709367300,100.55,100.55
1709368200,100.55,100.55
1709369100,100.55,100.55
1709370000,100.55,100.55
1709370900,161.13,165.96
1709371800,169.15,170.67
1709372700,172.77,171.45
1709373600,325.80,310.58
1709374500,325.80,310.43
1709375400,325.69,309.31
1709376300,325.80,312.70
1709377200,330.56,314.82
1709378100,330.57,316.94
1709379000,330.41,316.94
1709379900,330.39,316.22
1709380800,329.28,314.82
1709381700,325.78,314.82
1709382600,325.78,314.77
1709383500,325.79,308.57
1709384400,325.74,311.94
1709385300,325.75,312.70
1709386200,322.89,311.60
1709387100,169.69,170.61
1709388000,169.69,170.61
1709388900,170.47,170.61
1709389800,169.88,169.82
1709390700,168.42,168.42
