ts,하루전가격(원/kWh)
1709218800,107.39
1709222400,107.39
1709226000,95.30
1709229600,87.89
1709233200,0.00
1709236800,0.00
1709240400,0.00
1709244000,111.40
1709247600,0.00
1709251200,111.67
1709254800,109.57
1709258400,0.00
1709262000,99.15
1709265600,0.00
1709269200,95.91
1709272800,95.91
1709276400,98.25
1709280000,100.21
1709283600,128.34
1709287200,109.57
1709290800,109.83
1709294400,109.83
1709298000,110.35
1709301600,112.19
1709305200,112.19
1709308800,138.50
1709312400,99.48
1709316000,95.38
1709319600,91.24
1709323200,91.24
1709326800,134.65
1709330400,99.48
1709334000,135.15
1709337600,135.71
1709341200,104.14
1709344800,138.50
1709348400,95.88
1709352000,95.22
1709355600,95.88
1709359200,99.48
1709362800,100.55
1709366400,250.60
1709370000,136.96
1709373600,168.45
1709377200,225.05
1709380800,225.05
1709384400,168.45
1709388000,207.57
1709391600,247.14
1709395200,321.47
1709398800,100.21
1709402400,82.66
1709406000,82.66
1709409600,82.66
1709413200,99.15
1709416800,165.83
1709420400,169.56
1709424000,95.99
1709427600,107.39
1709431200,100.21
1709434800,104.76
1709438400,95.93
1709442000,95.93
1709445600,95.68
1709449200,95.70
1709452800,250.09
1709456400,137.03
1709460000,169.72
1709463600,170.95
1709467200,171.26
1709470800,175.61
1709474400,175.61
1709478000,170.79
1709481600,168.30
1709485200,86.82
1709488800,80.97
1709492400,80.97
1709496000,80.97
1709499600,81.81
1709503200,166.81
1709506800,309.13
1709510400,173.82
1709514000,175.21
1709517600,167.28
1709521200,167.28
1709524800,146.22
1709528400,150.25
1709532000,149.63
1709535600,167.00
1709539200,167.00
1709542800,169.11
1709546400,167.17
1709550000,313.62
1709553600,169.85
1709557200,255.37
1709560800,137.23
1709564400,107.12
1709568000,100.13
1709571600,94.80
1709575200,94.80
1709578800,94.80
1709582400,94.80
1709586000,94.80
1709589600,105.85
1709593200,107.38
1709596800,226.38
1709600400,230.01
1709604000,226.38
1709607600,230.01
1709611200,146.27
1709614800,170.63
1709618400,162.57
1709622000,167.00
1709625600,162.57
1709629200,153.80
1709632800,153.56
1709636400,148.78
1709640000,153.56
1709643600,175.87
1709647200,131.23
1709650800,131.19
1709654400,164.31
1709658000,164.31
1709661600,164.31
1709665200,164.31
1709668800,164.31
1709672400,164.31
1709676000,164.31
1709679600,164.31
1709683200,171.11
1709686800,172.44
1709690400,165.47
1709694000,165.47
1709697600,163.86
1709701200,163.86
1709704800,163.86
1709708400,163.86
1709712000,163.86
1709715600,163.86
1709719200,164.31
1709722800,164.31
1709726400,164.31
1709730000,164.31
1709733600,164.31
1709737200,164.31
1709740800,107.31
